"year","epa_id","Project","analyte_group","analyte_name_deq","poc","site_name","start_date","end_date","parameter_epa","cas_num","n_submitted","n_void","n_obs","n_below_mdl","min_val","mean_val","max_val","sd_val","q10","q50","q90","q95","unts","min_val_ug_m3","mean_val_ug_m3","max_val_ug_m3","mol_wght_g_mol","pah_tox_eq_factor","oregon_abc","hr24_rbc_cao","mdl_min","mdl_mean","mdl_max","quarter_mean_val","quarter_mean_val_ug_m3","nobs_q1","nobs_q2","nobs_q3","nobs_q4","km_mean_ug_m3","conc_benchmark_mean","conc_benchmark_qmean","conc_benchmark_km_mean"
"2019","410292129","Medford Welch and Jackson","Carbonyls","2-Butanone (MEK)","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"2-Butanone (MEK)","78-93-3",42,0,42,0,0.0882,0.633247619047619,2.74,0.613983735082137,0.1603,0.401,1.36,1.4595,"Micrograms/cubic meter (25 C)",0.0882,0.633247619047619,2.74,NA,NA,NA,"5000",0.0193,0.0208261904761905,0.0234,0.647152738095238,0.647152738095238,5,8,15,14,0.633247619047619,NA,NA,NA
"2019","410292129","Medford Welch and Jackson","Carbonyls","2,5-Dimethylbenzaldehyde","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"2,5-Dimethylbenzaldehyde","5779-94-2",42,0,42,36,0.00965,0.0161607142857143,0.13,0.0199116510068556,0.009955,0.010375,0.03007,0.04014,"Micrograms/cubic meter (25 C)",0.00965,0.0161607142857143,0.13,NA,NA,NA,NA,0.0193,0.0208261904761905,0.0234,0.0148609523809524,0.0148609523809524,5,8,15,14,0.02665,NA,NA,NA
"2019","410292129","Medford Welch and Jackson","Carbonyls","Acetaldehyde","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Acetaldehyde","75-07-0",42,0,42,0,0.716,2.28371428571429,10.7,1.61545365199444,1.053,2.02,3.39,3.7805,"Micrograms/cubic meter (25 C)",0.716,2.28371428571429,10.7,NA,NA,0.45,"470",0.029,0.0312404761904762,0.0352,2.03210297619048,2.03210297619048,5,8,15,14,2.28371428571429,5.07492063492063,4.51578439153439,5.07492063492064
"2019","410292129","Medford Welch and Jackson","Carbonyls","Acetone","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Acetone","67-64-1",42,0,42,0,0.747,3.57819047619048,10.4,2.44879980795068,1.377,2.79,6.067,9.57549999999999,"Micrograms/cubic meter (25 C)",0.747,3.57819047619048,10.4,NA,NA,NA,"62000",0.193,0.208261904761905,0.234,3.32762410714286,3.32762410714286,5,8,15,14,3.57819047619048,NA,NA,NA
"2019","410292129","Medford Welch and Jackson","Carbonyls","Benzaldehyde","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Benzaldehyde","100-52-7",42,0,42,0,0.0561,0.182466666666667,0.721,0.128553300451255,0.07611,0.154,0.2794,0.37945,"Micrograms/cubic meter (25 C)",0.0561,0.182466666666667,0.721,NA,NA,NA,NA,0.0386,0.0416476190476191,0.0469,0.168154494047619,0.168154494047619,5,8,15,14,0.182466666666667,NA,NA,NA
"2019","410292129","Medford Welch and Jackson","Carbonyls","Butyraldehyde","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Butyraldehyde","123-72-8",42,0,42,15,0.01005,0.121383333333333,0.683,0.130957512969864,0.01021,0.098,0.2504,0.2974,"Micrograms/cubic meter (25 C)",0.01005,0.121383333333333,0.683,NA,NA,NA,NA,0.0193,0.0208261904761905,0.0234,0.112938050595238,0.112938050595238,5,8,15,14,0.133092857142857,NA,NA,NA
"2019","410292129","Medford Welch and Jackson","Carbonyls","Crotonaldehyde","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Crotonaldehyde","123-73-9",42,0,42,29,0.0193,0.038352380952381,0.283,0.0442825874940524,0.01972,0.02075,0.06528,0.075165,"Micrograms/cubic meter (25 C)",0.0193,0.038352380952381,0.283,NA,NA,NA,NA,0.0386,0.0416476190476191,0.0469,0.0339952678571429,0.0339952678571429,5,8,15,14,0.0529714285714286,NA,NA,NA
"2019","410292129","Medford Welch and Jackson","Carbonyls","Formaldehyde","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Formaldehyde","50-00-0",42,0,42,0,1.27,3.45238095238095,16.2,2.3169111160397,1.714,3.16,4.57,5.52,"Micrograms/cubic meter (25 C)",1.27,3.45238095238095,16.2,NA,NA,0.2,"49",0.0773,0.0832904761904762,0.0937,3.09603571428571,3.09603571428571,5,8,15,14,3.45238095238095,17.2619047619048,15.4801785714286,17.2619047619048
"2019","410292129","Medford Welch and Jackson","Carbonyls","Hexaldehyde","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Hexaldehyde","66-25-1",42,0,42,0,0.0779,0.232347619047619,0.591,0.123243556677359,0.09688,0.217,0.4128,0.45225,"Micrograms/cubic meter (25 C)",0.0779,0.232347619047619,0.591,NA,NA,NA,NA,0.0193,0.0208261904761905,0.0234,0.221111428571429,0.221111428571429,5,8,15,14,0.232347619047619,NA,NA,NA
"2019","410292129","Medford Welch and Jackson","Carbonyls","Isovaleraldehyde","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Isovaleraldehyde","590-86-3",42,0,42,0,0.0758,0.237616666666667,0.58,0.101870419643653,0.1134,0.229,0.3392,0.3785,"Micrograms/cubic meter (25 C)",0.0758,0.237616666666667,0.58,NA,NA,NA,NA,0.0386,0.0416476190476191,0.0469,0.217834166666667,0.217834166666667,5,8,15,14,0.237616666666667,NA,NA,NA
"2019","410292129","Medford Welch and Jackson","Carbonyls","m-Tolualdehyde","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"m-Tolualdehyde","620-23-5",42,0,42,13,0.00995,0.0430654761904762,0.232,0.0421772659953307,0.0101,0.0349,0.07557,0.10168,"Micrograms/cubic meter (25 C)",0.00995,0.0430654761904762,0.232,NA,NA,NA,NA,0.0193,0.0208261904761905,0.0234,0.0390441220238095,0.0390441220238095,5,8,15,14,0.0477142857142857,NA,NA,NA
"2019","410292129","Medford Welch and Jackson","Carbonyls","o-Tolualdehyde","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"o-Tolualdehyde","529-20-4",42,0,42,33,0.0097,0.0148309523809524,0.0515,0.00945611785694882,0.010005,0.0104,0.03087,0.032085,"Micrograms/cubic meter (25 C)",0.0097,0.0148309523809524,0.0515,NA,NA,NA,NA,0.0193,0.0208261904761905,0.0234,0.0143942261904762,0.0143942261904762,5,8,15,14,0.0223904761904762,NA,NA,NA
"2019","410292129","Medford Welch and Jackson","Carbonyls","p-Tolualdehyde","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"p-Tolualdehyde","104-87-0",42,0,42,40,0.00965,0.0170369047619048,0.24,0.0360641316632586,0.00986,0.01035,0.011345,0.011685,"Micrograms/cubic meter (25 C)",0.00965,0.0170369047619048,0.24,NA,NA,NA,NA,0.0193,0.0208261904761905,0.0234,0.0149741071428571,0.0149741071428571,5,8,15,14,0.0641880952380952,NA,NA,NA
"2019","410292129","Medford Welch and Jackson","Carbonyls","Propionaldehyde","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Propionaldehyde","123-38-6",42,0,42,0,0.0488,0.301538095238095,1.32,0.220354681889062,0.1054,0.257,0.4873,0.5961,"Micrograms/cubic meter (25 C)",0.0488,0.301538095238095,1.32,NA,NA,NA,NA,0.0193,0.0208261904761905,0.0234,0.271746428571429,0.271746428571429,5,8,15,14,0.301538095238095,NA,NA,NA
"2019","410292129","Medford Welch and Jackson","Carbonyls","Valeraldehyde","7","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Valeraldehyde","110-62-3",42,0,42,0,0.0401,0.204328571428571,0.896,0.17191251360647,0.06637,0.1645,0.3633,0.50925,"Micrograms/cubic meter (25 C)",0.0401,0.204328571428571,0.896,NA,NA,NA,NA,0.0193,0.0208261904761905,0.0234,0.174347351190476,0.174347351190476,5,8,15,14,0.204328571428571,NA,NA,NA
"2019","410292129","Medford Welch and Jackson","Metals","Antimony, Total","7","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Antimony, Total","7440-36-0",59,0,59,29,0.187,0.493067796610169,1.54,0.333872129373878,0.2215,0.453,0.9308,1.139,"Nanograms/cubic meter (LC)",0.000187,0.000493067796610169,0.00154,NA,NA,NA,"1",0.374,0.441830508474576,0.443,0.494061498397436,0.000494061498397436,13,15,16,15,0.000607440677966102,NA,NA,NA
"2019","410292129","Medford Welch and Jackson","Metals","Arsenic, Total","7","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Arsenic, Total","7440-38-2",59,0,59,0,0.063,0.372796610169492,1.46,0.309370371698491,0.098,0.279,0.7554,1.074,"Nanograms/cubic meter (LC)",6.3e-05,0.000372796610169492,0.00146,NA,NA,2e-04,"0.2",0.037,0.0438813559322034,0.044,0.378383333333333,0.000378383333333333,13,15,16,15,0.000372796610169492,1.86398305084746,1.89191666666667,1.86398305084746
